"","siteID","plotID","totalSampledAreaTrees","plot.AGB","AGB.kg.m2","AGB.Mg.ha","AGB.C.Mg.ha"
"61","LENO","LENO_061",800,15265.2336217011,19.0815420271263,190.815420271263,89.6832475274938
"62","LENO","LENO_062",800,19417.2882569101,24.2716103211376,242.716103211376,114.076568509347
"63","LENO","LENO_063",800,11126.4815296956,13.9081019121195,139.081019121195,65.3680789869618
"64","LENO","LENO_064",800,17885.7215008418,22.3571518760522,223.571518760522,105.078613817445
"65","LENO","LENO_065",800,8576.28905007523,10.720361312594,107.20361312594,50.385698169192
"66","LENO","LENO_066",800,21869.4115858529,27.3367644823161,273.367644823161,128.482793066886
"67","LENO","LENO_067",800,17128.4232806651,21.4105291008314,214.105291008314,100.629486773907
"68","LENO","LENO_068",800,23173.635796847,28.9670447460588,289.670447460588,136.145110306476
"69","LENO","LENO_069",800,15505.3022904637,19.3816278630797,193.816278630797,91.0936509564744
"70","LENO","LENO_070",800,13527.1112666987,16.9088890833734,169.088890833734,79.4717786918548
"71","TALL","TALL_001",400,12917.9817599044,32.2949543997611,322.949543997611,151.786285678877
"72","TALL","TALL_002",400,5264.95320851145,13.1623830212786,131.623830212786,61.8632002000095
"73","TALL","TALL_003",400,321.371401072421,0.803428502681052,8.03428502681052,3.77611396260095
"74","TALL","TALL_004",400,4082.20631338656,10.2055157834664,102.055157834664,47.9659241822921
"75","TALL","TALL_005",400,1446.37254179126,3.61593135447815,36.1593135447815,16.9948773660473
"76","TALL","TALL_006",400,6773.43443544088,16.9335860886022,169.335860886022,79.5878546164304
"77","TALL","TALL_007",400,6995.68882749362,17.489222068734,174.89222068734,82.19934372305
"78","TALL","TALL_008",400,6632.1338392841,16.5803345982103,165.803345982103,77.9275726115882
"79","TALL","TALL_009",400,1788.24572077429,4.47061430193574,44.7061430193574,21.011887219098
"80","TALL","TALL_010",400,6100.94251314689,15.2523562828672,152.523562828672,71.6860745294759
"81","TALL","TALL_011",400,7025.70140185165,17.5642535046291,175.642535046291,82.5519914717568
"82","TALL","TALL_012",400,6283.96078210688,15.7099019552672,157.099019552672,73.8365391897559
"83","TALL","TALL_013",400,5502.86875871954,13.7571718967988,137.571718967988,64.6587079149546
"84","TALL","TALL_015",400,8548.81538735186,21.3720384683796,213.720384683796,100.448580801384
"85","TALL","TALL_016",400,7870.10140631595,19.6752535157899,196.752535157899,92.4736915242124
"86","TALL","TALL_017",400,1038.14397341717,2.59535993354294,25.9535993354294,12.1981916876518
"87","TALL","TALL_018",400,11641.7868304225,29.1044670760563,291.044670760563,136.790995257464
"88","TALL","TALL_020",400,3994.57978476409,9.98644946191023,99.8644946191023,46.9363124709781
"89","TALL","TALL_022",400,4812.3065590031,12.0307663975078,120.307663975078,56.5446020682864
"90","TALL","TALL_025",400,13640.6933095666,34.1017332739166,341.017332739166,160.278146387408
"91","TALL","TALL_042",800,8837.63016026542,11.0470377003318,110.470377003318,51.9210771915593
"92","TALL","TALL_043",800,7814.22290557297,9.76777863196621,97.6777863196621,45.9085595702412
"93","TALL","TALL_044",800,12650.0528377413,15.8125660471767,158.125660471767,74.3190604217303
"94","TALL","TALL_045",800,10464.7199207758,13.0808999009698,130.808999009698,61.4802295345581
"95","TALL","TALL_046",800,10482.369093503,13.1029613668788,131.029613668788,61.5839184243304
"96","TALL","TALL_047",800,17762.8817158452,22.2036021448065,222.036021448065,104.356930080591
"97","TALL","TALL_049",800,9157.25178369196,11.446564729615,114.46564729615,53.7988542291903
"98","TALL","TALL_050",800,13167.0936869383,16.4588671086729,164.588671086729,77.3566754107627
"99","TALL","TALL_051",800,13273.8473242877,16.5923091553597,165.923091553597,77.9838530301904
"100","TALL","TALL_052",800,8193.10172465883,10.2413771558235,102.413771558235,48.1344726323706
"101","TALL","TALL_053",800,15103.3222452149,18.8791528065186,188.791528065186,88.7320181906375
"102","TALL","TALL_054",800,8699.25826531299,10.8740728316412,108.740728316412,51.1081423087138
"103","TALL","TALL_055",800,12019.4497608983,15.0243122011228,150.243122011228,70.6142673452773
"104","TALL","TALL_056",800,5657.99478559423,7.07249348199279,70.7249348199279,33.2407193653661
"105","TALL","TALL_057",800,6861.41219678991,8.57676524598739,85.7676524598739,40.3107966561407
"106","TALL","TALL_059",800,17126.3676378491,21.4079595473114,214.079595473114,100.617409872363
"107","TALL","TALL_060",800,6535.95214816838,8.16994018521047,81.6994018521048,38.3987188704892
"108","TALL","TALL_061",800,7257.60279675901,9.07200349594877,90.7200349594877,42.6384164309592
"109","TALL","TALL_064",400,8100.98829983824,20.2524707495956,202.524707495956,95.1866125230993
