"","X.1","X","sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay","siteID","siteID_tosplit","plotID","soilHorizon","BD.plot.mean","BD.site.mean","bulkdensity","sample.area.cm2","sample.volume","g.soil","InorganicN.ugm2","InorganicN.ugHectare","InorganicN.gHectare","InorganicN.kgHectare"
"29",29,29,"BONA_009-O-31.5-32.5-20190828","2019-08-29 02:30:00","BONA_009-O-31.5-32.5",1.116,0.73,1.845,0.067,0.063,"BONA","BONA_009-O","BONA_009","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,382642.457142857,3826424571.42857,3826.42457142857,3.82642457142857
"30",30,30,"BONA_009-O-32-16-20190828","2019-08-29 02:00:00","BONA_009-O-32-16",2.315,0.71,3.025,0.299,0.029,"BONA","BONA_009-O","BONA_009","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,627367.714285714,6273677142.85714,6273.67714285714,6.27367714285714
"31",31,31,"BONA_013-M-11.5-2.5-20190828","2019-08-28 22:14:00","BONA_013-M-11.5-2.5",0.83,0.341,1.171,0.015,0.031,"BONA","BONA_013-M","BONA_013","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,242858.708571429,2428587085.71429,2428.58708571429,2.42858708571429
"32",32,32,"BONA_013-M-19-30.5-20190828","2019-08-28 21:25:00","BONA_013-M-19-30.5",0.491,0.304,0.795,-0.001,0.005,"BONA","BONA_013-M","BONA_013","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,164878.457142857,1648784571.42857,1648.78457142857,1.64878457142857
"33",33,33,"BONA_013-M-31-29.5-20190828","2019-08-28 20:23:00","BONA_013-M-31-29.5",0.561,0.608,1.169,0.036,0.036,"BONA","BONA_013-M","BONA_013","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,242443.92,2424439200,2424.4392,2.4244392
"34",34,34,"BONA_013-O-11.5-2.5-20190828","2019-08-28 22:14:00","BONA_013-O-11.5-2.5",3.386,0.635,4.021,0.232,0.04,"BONA","BONA_013-O","BONA_013","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,833932.422857143,8339324228.57143,8339.32422857143,8.33932422857143
"35",35,35,"BONA_013-O-19-30.5-20190828","2019-08-28 21:25:00","BONA_013-O-19-30.5",3.434,1.156,4.59,0.396,-0.017,"BONA","BONA_013-O","BONA_013","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,951939.771428572,9519397714.28572,9519.39771428571,9.51939771428571
"36",36,36,"BONA_013-O-31-29.5-20190828","2019-08-28 20:23:00","BONA_013-O-31-29.5",1.431,0.767,2.198,0.043,-0.001,"BONA","BONA_013-O","BONA_013","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,455852.64,4558526400,4558.5264,4.5585264
"37",37,37,"BONA_070-M-26-8.5-20190826","2019-08-26 22:20:00","BONA_070-M-26-8.5",0.612,2.497,3.108,-0.016,-0.014,"BONA","BONA_070-M","BONA_070","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,644581.44,6445814400,6445.8144,6.4458144
"38",38,38,"BONA_070-M-3-13.5-20190826","2019-08-26 23:55:00","BONA_070-M-3-13.5",1.536,3.271,4.806,-0.004,-0.04,"BONA","BONA_070-M","BONA_070","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,996736.937142857,9967369371.42857,9967.36937142857,9.96736937142857
"39",39,39,"BONA_070-M-30-21.5-20190826","2019-08-26 23:15:00","BONA_070-M-30-21.5",1.241,4.143,5.384,-0.06,-0.073,"BONA","BONA_070-M","BONA_070","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,1116610.83428571,11166108342.8571,11166.1083428571,11.1661083428571
"40",40,40,"BONA_070-O-26-8.5-20190826","2019-08-26 22:20:00","BONA_070-O-26-8.5",1.138,1.404,2.543,0.005,0.017,"BONA","BONA_070-O","BONA_070","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,527403.668571429,5274036685.71429,5274.03668571429,5.27403668571429
"41",41,41,"BONA_070-O-3-13.5-20190826","2019-08-26 23:55:00","BONA_070-O-3-13.5",0.23,21.184,21.414,-0.847,-0.863,"BONA","BONA_070-O","BONA_070","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,4441141.23428572,44411412342.8571,44411.4123428571,44.4114123428571
"42",42,42,"BONA_070-O-30-21.5-20190826","2019-08-26 23:15:00","BONA_070-O-30-21.5",0.776,4.443,5.219,-0.095,-0.077,"BONA","BONA_070-O","BONA_070","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,1082390.77714286,10823907771.4286,10823.9077714286,10.8239077714286
"43",43,43,"BONA_071-M-37-8.5-20190826","2019-08-26 19:34:00","BONA_071-M-37-8.5",1.615,0.96,2.575,0.057,0.087,"BONA","BONA_071-M","BONA_071","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,534040.285714286,5340402857.14286,5340.40285714286,5.34040285714286
"44",44,44,"BONA_071-M-39-31.5-20190826","2019-08-26 20:22:00","BONA_071-M-39-31.5",0.329,0.951,1.28,-0.022,-0.006,"BONA","BONA_071-M","BONA_071","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,265464.685714286,2654646857.14286,2654.64685714286,2.65464685714286
"45",45,45,"BONA_071-M-6.5-19-20190826","2019-08-26 18:43:00","BONA_071-M-6.5-19",0.446,1.441,1.886,-0.031,-0.013,"BONA","BONA_071-M","BONA_071","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,391145.622857143,3911456228.57143,3911.45622857143,3.91145622857143
"46",46,46,"BONA_071-O-37-8.5-20190826","2019-08-26 19:34:00","BONA_071-O-37-8.5",1.059,1.186,2.245,0.121,0.132,"BONA","BONA_071-O","BONA_071","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,465600.171428572,4656001714.28572,4656.00171428572,4.65600171428571
"47",47,47,"BONA_071-O-39-31.5-20190826","2019-08-26 20:22:00","BONA_071-O-39-31.5",1.442,1.087,2.529,0.011,0.023,"BONA","BONA_071-O","BONA_071","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,524500.148571429,5245001485.71429,5245.00148571429,5.24500148571429
"48",48,48,"BONA_071-O-6.5-19-20190826","2019-08-26 18:43:00","BONA_071-O-6.5-19",1.571,2.037,3.608,-0.041,-0.032,"BONA","BONA_071-O","BONA_071","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,748278.582857143,7482785828.57143,7482.78582857143,7.48278582857143
"49",49,49,"BONA_080-M-30-6-20190826","2019-08-27 00:01:00","BONA_080-M-30-6",0.155,1.605,1.759,0.056,0.057,"BONA","BONA_080-M","BONA_080","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,364806.548571429,3648065485.71429,3648.06548571429,3.64806548571429
"50",50,50,"BONA_080-M-5-9-20190826","2019-08-26 22:23:00","BONA_080-M-5-9",0.481,0.931,1.411,-0.028,-0.015,"BONA","BONA_080-M","BONA_080","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,292633.337142857,2926333371.42857,2926.33337142857,2.92633337142857
"51",51,51,"BONA_080-M-8.5-24-20190826","2019-08-26 23:09:00","BONA_080-M-8.5-24",0.414,1.392,1.806,0.004,-0.015,"BONA","BONA_080-M","BONA_080","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,374554.08,3745540800,3745.5408,3.7455408
"52",52,52,"BONA_080-O-30-6-20190826","2019-08-26 23:59:00","BONA_080-O-30-6",0.943,2.945,3.888,0.077,0.057,"BONA","BONA_080-O","BONA_080","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,806348.982857143,8063489828.57143,8063.48982857143,8.06348982857143
"53",53,53,"BONA_080-O-5-9-20190826","2019-08-26 22:21:00","BONA_080-O-5-9",0.89,1.198,2.088,0,-0.023,"BONA","BONA_080-O","BONA_080","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,433039.268571429,4330392685.71429,4330.39268571429,4.33039268571429
"54",54,54,"BONA_080-O-8.5-24-20190826","2019-08-26 23:09:00","BONA_080-O-8.5-24",0.567,0.975,1.542,-0.008,-0.01,"BONA","BONA_080-O","BONA_080","O",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,319801.988571429,3198019885.71429,3198.01988571429,3.19801988571429
"55",55,55,"BONA_084-M-13.5-34-20190830","2019-08-31 00:26:00","BONA_084-M-13.5-34",0.831,0.798,1.629,-0.02,0.014,"BONA","BONA_084-M","BONA_084","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,337845.291428571,3378452914.28571,3378.45291428571,3.37845291428571
"56",56,56,"BONA_084-M-20.5-9.5-20190830","2019-08-30 23:33:00","BONA_084-M-20.5-9.5",0.483,1.064,1.548,-0.052,-0.033,"BONA","BONA_084-M","BONA_084","M",NA,0.691314285714286,0.691314285714286,10000,3e+05,207394.285714286,321046.354285714,3210463542.85714,3210.46354285714,3.21046354285714
