"","X","sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay","siteID","siteID_tosplit","plotID","soilHorizon","BD.plot.mean","BD.site.mean","bulkdensity","sample.area.cm2","sample.volume","g.soil","InorganicN.ugm2","InorganicN.ugHectare","InorganicN.gHectare","InorganicN.kgHectare"
"63",63,"DELA_038-M-31.5-5-20191112","2019-11-12 16:20:00","DELA_038-M-31.5-5",1.622,3.488,5.11,0.25,0.135,"DELA","DELA_038-M","DELA_038","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,2124642.1875,21246421875,21246.421875,21.246421875
"64",64,"DELA_038-M-32.5-11.5-20190626","2019-06-26 12:40:00","DELA_038-M-32.5-11.5",1.511,2.137,3.648,0.234,0.197,"DELA","DELA_038-M","DELA_038","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1516770,15167700000,15167.7,15.1677
"65",65,"DELA_038-M-32.5-26-20191112","2019-11-12 16:40:00","DELA_038-M-32.5-26",3.111,3.556,6.667,0.401,0.389,"DELA","DELA_038-M","DELA_038","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,2772013.59375,27720135937.5,27720.1359375,27.7201359375
"66",66,"DELA_038-M-34-8-20190513","2019-05-13 17:25:00","DELA_038-M-34-8",12.114,1.723,13.837,-0.391,-0.054,"DELA","DELA_038-M","DELA_038","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,5753165.15625,57531651562.5,57531.6515625,57.5316515625
"67",67,"DELA_038-M-35-28-20190513","2019-05-13 17:07:00","DELA_038-M-35-28",1.863,3.335,5.199,0.043,-0.12,"DELA","DELA_038-M","DELA_038","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,2161646.71875,21616467187.5,21616.4671875,21.6164671875
"68",68,"DELA_038-M-4-24-20190626","2019-06-26 13:19:00","DELA_038-M-4-24",1.039,2.577,3.616,0.019,0.018,"DELA","DELA_038-M","DELA_038","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1503465,15034650000,15034.65,15.03465
"69",69,"DELA_038-M-5-15-20190513","2019-05-13 15:58:00","DELA_038-M-5-15",1.965,1.177,3.143,1.706,-0.035,"DELA","DELA_038-M","DELA_038","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1306800.46875,13068004687.5,13068.0046875,13.0680046875
"70",70,"DELA_040-M-11-4-20190626","2019-06-26 15:12:00","DELA_040-M-11-4",1.248,0.747,1.995,0.234,0.093,"DELA","DELA_040-M","DELA_040","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,829483.59375,8294835937.5,8294.8359375,8.2948359375
"71",71,"DELA_040-M-19-6.5-20190513","2019-05-13 19:12:00","DELA_040-M-19-6.5",8.076,0.511,8.587,0.393,-0.009,"DELA","DELA_040-M","DELA_040","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,3570313.59375,35703135937.5,35703.1359375,35.7031359375
"72",72,"DELA_040-M-26-3-20190513","2019-05-13 19:32:00","DELA_040-M-26-3",3.408,0.492,3.9,0.424,-0.009,"DELA","DELA_040-M","DELA_040","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1621546.875,16215468750,16215.46875,16.21546875
"73",73,"DELA_040-M-32-36.5-20190626","2019-06-26 15:30:00","DELA_040-M-32-36.5",1.059,0.564,1.623,0.109,0.135,"DELA","DELA_040-M","DELA_040","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,674812.96875,6748129687.5,6748.1296875,6.7481296875
"74",74,"DELA_040-M-34.5-29-20190513","2019-05-13 20:10:00","DELA_040-M-34.5-29",2.043,1.119,3.162,0.269,-0.027,"DELA","DELA_040-M","DELA_040","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1314700.3125,13147003125,13147.003125,13.147003125
"75",75,"DELA_040-M-35-17-20191112","2019-11-12 18:58:00","DELA_040-M-35-17",1.019,1.47,2.489,0.053,-0.001,"DELA","DELA_040-M","DELA_040","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1034879.53125,10348795312.5,10348.7953125,10.3487953125
"76",76,"DELA_040-M-5-11-20191112","2019-11-12 18:46:00","DELA_040-M-5-11",1.569,2.188,3.756,0.162,0.068,"DELA","DELA_040-M","DELA_040","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1561674.375,15616743750,15616.74375,15.61674375
"77",77,"DELA_040-M-9-24-20191112","2019-11-12 19:14:00","DELA_040-M-9-24",1.4,1.025,2.425,0.25,0.189,"DELA","DELA_040-M","DELA_040","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1008269.53125,10082695312.5,10082.6953125,10.0826953125
"78",78,"DELA_040-M-9.5-36-20190626","2019-06-26 15:53:00","DELA_040-M-9.5-36",1.227,0.508,1.735,0.111,0.147,"DELA","DELA_040-M","DELA_040","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,721380.46875,7213804687.5,7213.8046875,7.2138046875
"79",79,"DELA_041-M-2-24.5-20191112","2019-11-12 17:21:00","DELA_041-M-2-24.5",2.134,4.94,7.073,-0.139,-0.15,"DELA","DELA_041-M","DELA_041","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,2940820.78125,29408207812.5,29408.2078125,29.4082078125
"80",80,"DELA_041-M-32.5-11.5-20191112","2019-11-12 17:45:00","DELA_041-M-32.5-11.5",1.736,8.326,10.063,-0.294,-0.358,"DELA","DELA_041-M","DELA_041","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,4184006.71875,41840067187.5,41840.0671875,41.8400671875
"81",81,"DELA_041-M-34-8-20190626","2019-06-26 14:08:00","DELA_041-M-34-8",1.339,0.642,1.981,-0.014,0.034,"DELA","DELA_041-M","DELA_041","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,823662.65625,8236626562.5,8236.6265625,8.2366265625
"82",82,"DELA_041-M-35-28-20190626","2019-06-26 14:18:00","DELA_041-M-35-28",1.204,1.271,2.476,0.031,0.067,"DELA","DELA_041-M","DELA_041","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1029474.375,10294743750,10294.74375,10.29474375
"83",83,"DELA_041-M-4-24-20190626","2019-06-26 13:47:00","DELA_041-M-4-24",1.667,0.724,2.392,0.04,0.043,"DELA","DELA_041-M","DELA_041","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,994548.75,9945487500,9945.4875,9.9454875
"84",84,"DELA_041-M-8.5-17.5-20191112","2019-11-12 17:33:00","DELA_041-M-8.5-17.5",1.116,1.955,3.071,0.125,0.076,"DELA","DELA_041-M","DELA_041","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1276864.21875,12768642187.5,12768.6421875,12.7686421875
"85",85,"LENO_001-M-12-7.5-20180425","2018-04-25 18:25:00","LENO_001-M-12-7.5",1.565,0.756,2.321,0.26,0.006,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,873160.2,8731602000,8731.602,8.731602
"86",86,"LENO_001-M-17.5-32-20180711","2018-07-11 15:40:00","LENO_001-M-17.5-32",0.609,0.686,1.295,0.362,-0.011,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,487179,4871790000,4871.79,4.87179
"87",87,"LENO_001-M-19.5-39-20181105","2018-11-05 21:22:00","LENO_001-M-19.5-39",0.7,1.014,1.714,0.23,0.169,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,644806.8,6448068000,6448.068,6.448068
"88",88,"LENO_001-M-21-20230627","2023-06-27 15:32:00","LENO_001-M-21-peakGreenness-2023",0.887,0.455,1.342,0.016,-0.002,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,504860.4,5048604000,5048.604,5.048604
"89",89,"LENO_001-M-21-20231108","2023-11-08 18:07:00","LENO_001-M-21-dryWetTransition-2023",1.281,1.447,2.728,0.131,0.132,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,1026273.6,10262736000,10262.736,10.262736
"90",90,"LENO_001-M-23-20231108","2023-11-08 17:05:00","LENO_001-M-23-dryWetTransition-2023",0.645,13.767,14.412,-0.38,-0.358,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,5421794.4,54217944000,54217.944,54.217944
