"","siteID","plotID","totalSampledAreaTrees","plot.AGB","AGB.kg.m2","AGB.Mg.ha","AGB.C.Mg.ha","mean.root.MgC.ha","total.carbon","soil.C.Mg.ha"
"69","JERC","JERC_048",NA,NA,NA,NA,NA,1.95920169881946,3810.42260869565,38.1042260869565
"70","JERC","JERC_049",NA,NA,NA,NA,NA,5.23083069392456,4856.78260869565,48.5678260869565
"71","JERC","JERC_051",NA,NA,NA,NA,NA,3.66438957673481,NA,NA
"72","JERC","JERC_052",NA,NA,NA,NA,NA,7.56865102217103,NA,NA
"73","JERC","JERC_053",NA,NA,NA,NA,NA,3.3673409156349,NA,NA
"74","JERC","JERC_055",NA,NA,NA,NA,NA,4.44693348689893,NA,NA
"75","JERC","JERC_056",NA,NA,NA,NA,NA,6.78949035416067,NA,NA
"76","JERC","JERC_057",NA,NA,NA,NA,NA,4.11300748632306,NA,NA
"77","JERC","JERC_058",NA,NA,NA,NA,NA,4.55012237258854,NA,NA
"78","JERC","JERC_059",NA,NA,NA,NA,NA,4.06022890872445,NA,NA
"79","JERC","JERC_060",NA,NA,NA,NA,NA,10.6257486323064,NA,NA
"80","JERC","JERC_061",NA,NA,NA,NA,NA,5.39762453210481,NA,NA
"81","JERC","JERC_062",NA,NA,NA,NA,NA,3.36632594298877,NA,NA
"82","JERC","JERC_063",NA,NA,NA,NA,NA,4.47095450619061,NA,NA
"83","JERC","JERC_064",NA,NA,NA,NA,NA,6.93429311834149,NA,NA
"84","JERC","JERC_065",NA,NA,NA,NA,NA,4.07376187733948,NA,NA
"85","JERC","JERC_066",NA,NA,NA,NA,NA,3.54326950763029,NA,NA
"86","OSBS","OSBS_027",NA,NA,NA,NA,NA,2.55482147998848,NA,NA
"87","OSBS","OSBS_028",NA,NA,NA,NA,NA,2.55245321048085,NA,NA
"88","OSBS","OSBS_029",NA,NA,NA,NA,NA,3.28377483443709,NA,NA
"89","OSBS","OSBS_030",NA,NA,NA,NA,NA,2.77551036567809,NA,NA
"90","OSBS","OSBS_031",NA,NA,NA,NA,NA,2.46909012381227,5721.20769230769,57.2120769230769
"91","OSBS","OSBS_032",NA,NA,NA,NA,NA,2.24275122372589,NA,NA
"92","OSBS","OSBS_033",NA,NA,NA,NA,NA,4.40633458105384,NA,NA
"93","OSBS","OSBS_035",NA,NA,NA,NA,NA,2.87778577598618,NA,NA
"94","OSBS","OSBS_036",NA,NA,NA,NA,NA,5.6330643535848,NA,NA
"95","OSBS","OSBS_037",NA,NA,NA,NA,NA,2.86019291678664,NA,NA
"96","OSBS","OSBS_038",NA,NA,NA,NA,NA,3.60958105384394,NA,NA
"97","OSBS","OSBS_039",NA,NA,NA,NA,NA,2.41123668298301,NA,NA
"98","OSBS","OSBS_040",NA,NA,NA,NA,NA,5.64460120932911,NA,NA
"99","OSBS","OSBS_041",NA,NA,NA,NA,NA,4.34746616757846,NA,NA
"100","OSBS","OSBS_043",NA,NA,NA,NA,NA,5.30661531816873,NA,NA
"101","OSBS","OSBS_044",NA,NA,NA,NA,NA,3.71513820904117,NA,NA
"102","DSNY","DSNY_001",NA,NA,NA,NA,NA,NA,3516.26,35.1626
"103","DSNY","DSNY_002",NA,NA,NA,NA,NA,NA,13154.98,131.5498
"104","DSNY","DSNY_004",NA,NA,NA,NA,NA,NA,18379.79,183.7979
"105","DSNY","DSNY_005",NA,NA,NA,NA,NA,NA,5956.72,59.5672
"106","DSNY","DSNY_011",NA,NA,NA,NA,NA,NA,27997.48,279.9748
"107","DSNY","DSNY_015",NA,NA,NA,NA,NA,NA,11774.76,117.7476
"108","DSNY","DSNY_018",NA,NA,NA,NA,NA,NA,4542.21,45.4221
"109","DSNY","DSNY_019",NA,NA,NA,NA,NA,NA,2468.34,24.6834
"110","DSNY","DSNY_022",NA,NA,NA,NA,NA,NA,3176.44,31.7644
"111","DSNY","DSNY_023",NA,NA,NA,NA,NA,NA,6849.3,68.493
"112","DSNY","DSNY_027",NA,NA,NA,NA,NA,NA,14014.65,140.1465
"113","DSNY","DSNY_036",NA,NA,NA,NA,NA,NA,4836.48,48.3648
"114","JERC","JERC_008",NA,NA,NA,NA,NA,NA,5366.98,53.6698
"115","JERC","JERC_013",NA,NA,NA,NA,NA,NA,4565.42,45.6542
"116","JERC","JERC_015",NA,NA,NA,NA,NA,NA,6051.08,60.5108
"117","JERC","JERC_019",NA,NA,NA,NA,NA,NA,4659.1,46.591
"118","JERC","JERC_021",NA,NA,NA,NA,NA,NA,7381.9,73.819
"119","JERC","JERC_022",NA,NA,NA,NA,NA,NA,6666.68,66.6668
